sampleId,patientId,gene,entrezGeneId,gisticValue
TCGA-3C-AAAU-01,TCGA-3C-AAAU,FANCA,2175,1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,ATM,472,-1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,MRE11,4361,-1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,NBN,4683,1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,PALB2,79728,0
TCGA-3C-AAAU-01,TCGA-3C-AAAU,BARD1,580,-1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,BRCA1,672,0
TCGA-3C-AAAU-01,TCGA-3C-AAAU,BRCA2,675,-1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,BRIP1,83990,0
TCGA-3C-AAAU-01,TCGA-3C-AAAU,RAD50,10111,1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,RAD51,5888,1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,RAD51B,5890,-1
TCGA-3C-AAAU-01,TCGA-3C-AAAU,RAD51C,5889,0
TCGA-3C-AAAU-01,TCGA-3C-AAAU,RAD51D,5892,0
TCGA-3C-AAAU-01,TCGA-3C-AAAU,CHEK2,11200,-1
TCGA-3C-AALI-01,TCGA-3C-AALI,FANCA,2175,0
TCGA-3C-AALI-01,TCGA-3C-AALI,ATM,472,0
TCGA-3C-AALI-01,TCGA-3C-AALI,MRE11,4361,1
TCGA-3C-AALI-01,TCGA-3C-AALI,NBN,4683,1
TCGA-3C-AALI-01,TCGA-3C-AALI,PALB2,79728,0
TCGA-3C-AALI-01,TCGA-3C-AALI,BARD1,580,0
TCGA-3C-AALI-01,TCGA-3C-AALI,BRCA1,672,-1
TCGA-3C-AALI-01,TCGA-3C-AALI,BRCA2,675,-1
TCGA-3C-AALI-01,TCGA-3C-AALI,BRIP1,83990,1
TCGA-3C-AALI-01,TCGA-3C-AALI,RAD50,10111,-1
TCGA-3C-AALI-01,TCGA-3C-AALI,RAD51,5888,-1
TCGA-3C-AALI-01,TCGA-3C-AALI,RAD51B,5890,0
TCGA-3C-AALI-01,TCGA-3C-AALI,RAD51C,5889,1
TCGA-3C-AALI-01,TCGA-3C-AALI,RAD51D,5892,1
TCGA-3C-AALI-01,TCGA-3C-AALI,CHEK2,11200,1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,FANCA,2175,0
TCGA-3C-AALJ-01,TCGA-3C-AALJ,ATM,472,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,MRE11,4361,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,NBN,4683,2
TCGA-3C-AALJ-01,TCGA-3C-AALJ,PALB2,79728,0
TCGA-3C-AALJ-01,TCGA-3C-AALJ,BARD1,580,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,BRCA1,672,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,BRCA2,675,0
TCGA-3C-AALJ-01,TCGA-3C-AALJ,BRIP1,83990,2
TCGA-3C-AALJ-01,TCGA-3C-AALJ,RAD50,10111,0
TCGA-3C-AALJ-01,TCGA-3C-AALJ,RAD51,5888,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,RAD51B,5890,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,RAD51C,5889,2
TCGA-3C-AALJ-01,TCGA-3C-AALJ,RAD51D,5892,-1
TCGA-3C-AALJ-01,TCGA-3C-AALJ,CHEK2,11200,-1
TCGA-3C-AALK-01,TCGA-3C-AALK,FANCA,2175,-1
TCGA-3C-AALK-01,TCGA-3C-AALK,ATM,472,-1
TCGA-3C-AALK-01,TCGA-3C-AALK,MRE11,4361,-1
TCGA-3C-AALK-01,TCGA-3C-AALK,NBN,4683,0
TCGA-3C-AALK-01,TCGA-3C-AALK,PALB2,79728,0
TCGA-3C-AALK-01,TCGA-3C-AALK,BARD1,580,0
TCGA-3C-AALK-01,TCGA-3C-AALK,BRCA1,672,-1
TCGA-3C-AALK-01,TCGA-3C-AALK,BRCA2,675,0
TCGA-3C-AALK-01,TCGA-3C-AALK,BRIP1,83990,2
TCGA-3C-AALK-01,TCGA-3C-AALK,RAD50,10111,0
TCGA-3C-AALK-01,TCGA-3C-AALK,RAD51,5888,0
TCGA-3C-AALK-01,TCGA-3C-AALK,RAD51B,5890,0
TCGA-3C-AALK-01,TCGA-3C-AALK,RAD51C,5889,2
TCGA-3C-AALK-01,TCGA-3C-AALK,RAD51D,5892,2
TCGA-3C-AALK-01,TCGA-3C-AALK,CHEK2,11200,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,FANCA,2175,-1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,ATM,472,-1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,MRE11,4361,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,NBN,4683,1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,PALB2,79728,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,BARD1,580,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,BRCA1,672,1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,BRCA2,675,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,BRIP1,83990,1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,RAD50,10111,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,RAD51,5888,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,RAD51B,5890,0
TCGA-4H-AAAK-01,TCGA-4H-AAAK,RAD51C,5889,1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,RAD51D,5892,1
TCGA-4H-AAAK-01,TCGA-4H-AAAK,CHEK2,11200,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,FANCA,2175,-1
TCGA-5L-AAT0-01,TCGA-5L-AAT0,ATM,472,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,MRE11,4361,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,NBN,4683,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,PALB2,79728,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,BARD1,580,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,BRCA1,672,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,BRCA2,675,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,BRIP1,83990,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,RAD50,10111,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,RAD51,5888,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,RAD51B,5890,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,RAD51C,5889,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,RAD51D,5892,0
TCGA-5L-AAT0-01,TCGA-5L-AAT0,CHEK2,11200,0
TCGA-5T-A9QA-01,TCGA-5T-A9QA,FANCA,2175,0
TCGA-5T-A9QA-01,TCGA-5T-A9QA,ATM,472,-1
TCGA-5T-A9QA-01,TCGA-5T-A9QA,MRE11,4361,-1
TCGA-5T-A9QA-01,TCGA-5T-A9QA,NBN,4683,1
