sampleId,patientId,gene,entrezGeneId,expressionRsemBatchNormalized
TCGA-3C-AAAU-01,TCGA-3C-AAAU,FOXA1,3169,5448.37
TCGA-3C-AAAU-01,TCGA-3C-AAAU,FOXC1,2296,19.6456
TCGA-3C-AAAU-01,TCGA-3C-AAAU,GATA3,2625,14337.5
TCGA-3C-AAAU-01,TCGA-3C-AAAU,IFNG,3458,0.3447
TCGA-3C-AAAU-01,TCGA-3C-AAAU,KRT5,3852,1.3786
TCGA-3C-AAAU-01,TCGA-3C-AAAU,KRT14,3861,0
TCGA-3C-AAAU-01,TCGA-3C-AAAU,KRT17,3872,0.6893
TCGA-3C-AAAU-01,TCGA-3C-AAAU,AR,367,1097.74
TCGA-3C-AAAU-01,TCGA-3C-AAAU,MKI67,4288,2582.87
TCGA-3C-AAAU-01,TCGA-3C-AAAU,MUC1,4582,11713.9
TCGA-3C-AAAU-01,TCGA-3C-AAAU,PGR,5241,2273.27
TCGA-3C-AAAU-01,TCGA-3C-AAAU,VIM,7431,7698.95
TCGA-3C-AAAU-01,TCGA-3C-AAAU,CD8A,925,18.6116
TCGA-3C-AAAU-01,TCGA-3C-AAAU,CD274,29126,12.7524
TCGA-3C-AAAU-01,TCGA-3C-AAAU,CXCL9,4283,55.1454
TCGA-3C-AAAU-01,TCGA-3C-AAAU,EGFR,1956,53.0775
TCGA-3C-AAAU-01,TCGA-3C-AAAU,EPCAM,4072,4639.8
TCGA-3C-AAAU-01,TCGA-3C-AAAU,ERBB2,2064,7113.41
TCGA-3C-AAAU-01,TCGA-3C-AAAU,ESR1,2099,3457.96
TCGA-3C-AALI-01,TCGA-3C-AALI,FOXA1,3169,6049.48
TCGA-3C-AALI-01,TCGA-3C-AALI,FOXC1,2296,52.2023
TCGA-3C-AALI-01,TCGA-3C-AALI,GATA3,2625,7437.74
TCGA-3C-AALI-01,TCGA-3C-AALI,IFNG,3458,20.1196
TCGA-3C-AALI-01,TCGA-3C-AALI,KRT5,3852,394.78
TCGA-3C-AALI-01,TCGA-3C-AALI,KRT14,3861,312.67
TCGA-3C-AALI-01,TCGA-3C-AALI,KRT17,3872,616.096
TCGA-3C-AALI-01,TCGA-3C-AALI,AR,367,21.2072
TCGA-3C-AALI-01,TCGA-3C-AALI,MKI67,4288,2285.48
TCGA-3C-AALI-01,TCGA-3C-AALI,MUC1,4582,3105.49
TCGA-3C-AALI-01,TCGA-3C-AALI,PGR,5241,27.1887
TCGA-3C-AALI-01,TCGA-3C-AALI,VIM,7431,16158.2
TCGA-3C-AALI-01,TCGA-3C-AALI,CD8A,925,686.242
TCGA-3C-AALI-01,TCGA-3C-AALI,CD274,29126,34.2577
TCGA-3C-AALI-01,TCGA-3C-AALI,CXCL9,4283,12052.7
TCGA-3C-AALI-01,TCGA-3C-AALI,EGFR,1956,73.9532
TCGA-3C-AALI-01,TCGA-3C-AALI,EPCAM,4072,8899.4
TCGA-3C-AALI-01,TCGA-3C-AALI,ERBB2,2064,194625
TCGA-3C-AALI-01,TCGA-3C-AALI,ESR1,2099,68.5155
TCGA-3C-AALJ-01,TCGA-3C-AALJ,FOXA1,3169,4620.13
TCGA-3C-AALJ-01,TCGA-3C-AALJ,FOXC1,2296,159.565
TCGA-3C-AALJ-01,TCGA-3C-AALJ,GATA3,2625,10252.9
TCGA-3C-AALJ-01,TCGA-3C-AALJ,IFNG,3458,3.6265
TCGA-3C-AALJ-01,TCGA-3C-AALJ,KRT5,3852,2.7199
TCGA-3C-AALJ-01,TCGA-3C-AALJ,KRT14,3861,2.7199
TCGA-3C-AALJ-01,TCGA-3C-AALJ,KRT17,3872,7.2529
TCGA-3C-AALJ-01,TCGA-3C-AALJ,AR,367,123.3
TCGA-3C-AALJ-01,TCGA-3C-AALJ,MKI67,4288,949.229
TCGA-3C-AALJ-01,TCGA-3C-AALJ,MUC1,4582,1257.48
TCGA-3C-AALJ-01,TCGA-3C-AALJ,PGR,5241,473.835
TCGA-3C-AALJ-01,TCGA-3C-AALJ,VIM,7431,25119.2
TCGA-3C-AALJ-01,TCGA-3C-AALJ,CD8A,925,491.387
TCGA-3C-AALJ-01,TCGA-3C-AALJ,CD274,29126,9.0662
TCGA-3C-AALJ-01,TCGA-3C-AALJ,CXCL9,4283,3501.36
TCGA-3C-AALJ-01,TCGA-3C-AALJ,EGFR,1956,45.3309
TCGA-3C-AALJ-01,TCGA-3C-AALJ,EPCAM,4072,9473.25
TCGA-3C-AALJ-01,TCGA-3C-AALJ,ERBB2,2064,11070.7
TCGA-3C-AALJ-01,TCGA-3C-AALJ,ESR1,2099,7482.32
TCGA-3C-AALK-01,TCGA-3C-AALK,FOXA1,3169,7352.09
TCGA-3C-AALK-01,TCGA-3C-AALK,FOXC1,2296,266.446
TCGA-3C-AALK-01,TCGA-3C-AALK,GATA3,2625,8761.69
TCGA-3C-AALK-01,TCGA-3C-AALK,IFNG,3458,0
TCGA-3C-AALK-01,TCGA-3C-AALK,KRT5,3852,3429.46
TCGA-3C-AALK-01,TCGA-3C-AALK,KRT14,3861,4697.56
TCGA-3C-AALK-01,TCGA-3C-AALK,KRT17,3872,5433.6
