signature,gene,entrez,coefficient
basal_like_1,CDH3,1001,1.0
basal_like_1,LOC100130100,,1.0
basal_like_1,LOC100133233,,1.0
basal_like_1,LOC100133739,,1.0
basal_like_1,CD24,100133941,1.0
basal_like_1,DNAJB6,10049,1.0
basal_like_1,RASGRP1,10125,1.0
basal_like_1,FARP1,10160,1.0
basal_like_1,MPZL2,10205,1.0
basal_like_1,MSLN,10232,1.0
basal_like_1,IRX5,10265,1.0
basal_like_1,NET1,10276,1.0
basal_like_1,EFS,10278,1.0
basal_like_1,CDKN2A,1029,1.0
basal_like_1,NDRG1,10397,1.0
basal_like_1,NDC80,10403,1.0
basal_like_1,ZNF238,10472,1.0
basal_like_1,UBD,10537,1.0
basal_like_1,IFI44,10561,1.0
basal_like_1,CXCL13,10563,1.0
basal_like_1,CENPA,1058,1.0
basal_like_1,CENPE,1062,1.0
basal_like_1,CENPF,1063,1.0
basal_like_1,NES,10763,1.0
basal_like_1,IFI44L,10964,1.0
basal_like_1,CDC42EP1,11135,1.0
basal_like_1,PTP4A3,11156,1.0
basal_like_1,CHI3L1,1116,1.0
basal_like_1,NUDT3,11165,1.0
basal_like_1,CHI3L2,1117,1.0
basal_like_1,FAM107A,11170,1.0
basal_like_1,PADI2,11240,1.0
basal_like_1,OIP5,11339,1.0
basal_like_1,SCRG1,11341,1.0
basal_like_1,CKB,1152,1.0
basal_like_1,CKMT1B,1159,1.0
basal_like_1,CKS1B,1163,1.0
basal_like_1,CKS2,1164,1.0
basal_like_1,RPL39L,116832,1.0
basal_like_1,SERPINA3,12,1.0
basal_like_1,COPA,1314,1.0
basal_like_1,CLDN4,1364,1.0
basal_like_1,CLDN3,1365,1.0
basal_like_1,CLDN7,1366,1.0
basal_like_1,CRABP1,1381,1.0
basal_like_1,CRABP2,1382,1.0
basal_like_1,CRYAB,1410,1.0
basal_like_1,CTPS,1503,1.0
basal_like_1,CTSS,1520,1.0
basal_like_1,GPR125,166647,1.0
basal_like_1,DSP,1832,1.0
basal_like_1,SLC26A2,1836,1.0
basal_like_1,DTNA,1837,1.0
basal_like_1,EFNA4,1945,1.0
basal_like_1,ELF5,2001,1.0
basal_like_1,APOBEC3A,200315,1.0
basal_like_1,EN1,2019,1.0
basal_like_1,SLC29A1,2030,1.0
basal_like_1,AK2,204,1.0
basal_like_1,EPHB3,2049,1.0
basal_like_1,ALAS1,211,1.0
basal_like_1,FABP5,2171,1.0
basal_like_1,FGF13,2258,1.0
basal_like_1,FGFR2,2263,1.0
basal_like_1,PUF60,22827,1.0
basal_like_1,ZHX2,22882,1.0
basal_like_1,BTBD3,22903,1.0
basal_like_1,TPX2,22974,1.0
basal_like_1,FOXM1,2305,1.0
basal_like_1,PEG10,23089,1.0
basal_like_1,NFASC,23114,1.0
basal_like_1,ARHGEF9,23229,1.0
basal_like_1,COBL,23242,1.0
basal_like_1,BOP1,23246,1.0
basal_like_1,TRIM2,23321,1.0
basal_like_1,SYNM,23336,1.0
basal_like_1,OBSL1,23363,1.0
basal_like_1,TRAM1,23471,1.0
basal_like_1,LRRC8B,23507,1.0
basal_like_1,SCRIB,23513,1.0
basal_like_1,DDAH1,23576,1.0
basal_like_1,TRIM29,23650,1.0
basal_like_1,SGK3,23678,1.0
basal_like_1,MAFF,23764,1.0
basal_like_1,GABRP,2568,1.0
basal_like_1,TMEM158,25907,1.0
basal_like_1,CLIC4,25932,1.0
basal_like_1,KRT23,25984,1.0
basal_like_1,AMD1,262,1.0
basal_like_1,GBP1,2633,1.0
basal_like_1,CKAP2,26586,1.0
basal_like_1,EIF2C2,27161,1.0
basal_like_1,TNFRSF21,27242,1.0
basal_like_1,ADAMDEC1,27299,1.0
basal_like_1,TMEM97,27346,1.0
basal_like_1,IGHV4-31,28396,1.0
basal_like_1,TMSB15B,286527,1.0
basal_like_1,IGLJ3,28831,1.0
basal_like_1,GRB14,2888,1.0
basal_like_1,IGKV1D-13,28902,1.0
basal_like_1,IGKV4-1,28908,1.0
basal_like_1,TMEM14A,28978,1.0
basal_like_1,MRPL13,28998,1.0
basal_like_1,SLC43A3,29015,1.0
basal_like_1,ATAD2,29028,1.0
basal_like_1,MRPL15,29088,1.0
basal_like_1,GSTA4,2941,1.0
basal_like_1,GPSM2,29899,1.0
basal_like_1,SCHIP1,29970,1.0
basal_like_1,HIST1H2AE,3012,1.0
basal_like_1,HLA-DRB4,3126,1.0
basal_like_1,HMGB2,3148,1.0
basal_like_1,HMGA1,3159,1.0
basal_like_1,HSF1,3297,1.0
basal_like_1,HSPA1B,3304,1.0
basal_like_1,BIRC5,332,1.0
