sample_id,source,tool,tool_version,basal_marker_z,lar_luminal_marker_z,proliferation_marker_z,immune_inflammation_marker_z,epithelial_marker_z,stromal_emt_marker_z,marker_genes,caveat
TCGA-3C-AALI-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.3426,-0.6608,0.3886,1.2485,0.2986,-0.2055,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A1-A0SO-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.066,-2.0842,2.2141,-0.3731,-0.6434,0.7297,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A2-A0T0-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.4287,-0.8915,0.2613,-0.0598,0.6378,1.3421,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A7-A26H-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.0549,0.632,0.1898,0.0724,0.1823,0.1485,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A8-A085-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-1.6789,0.6815,0.7644,-2.4702,-1.661,-0.4485,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-B6-A0X1-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.7423,-1.2435,1.485,0.9659,0.1611,-2.0005,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-D8-A1XL-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.9493,-0.0252,0.1416,1.0617,0.4943,-0.724,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-LL-A8F5-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.8161,-1.8177,0.1424,0.4339,-0.1873,2.7094,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A8-A06R-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.0015,0.232,-0.2726,0.1721,0.567,0.2704,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AO-A129-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.9947,-1.4447,1.0523,1.1918,0.3597,1.599,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AR-A255-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,0.2167,0.5848,0.233,0.5697,-0.188,-0.1973,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-BH-A203-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.0546,0.0607,0.4531,0.6161,0.2229,-0.2164,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-A2-A0EP-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-0.1422,-0.1142,-0.4588,1.1464,-1.13,2.1772,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AC-A2FK-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,1.0956,-0.0473,-1.9977,0.1548,-0.5073,0.242,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
TCGA-AO-A12H-01,cBioPortal RNA Seq V2 RSEM batch-normalized marker expression,log2 expression z-score module means,scripts/build-rna-context.ts,-1.6632,0.9175,-0.902,-1.2966,-1.3793,-1.1032,basal_marker:KRT5|KRT14|KRT17|EGFR|FOXC1; lar_luminal_marker:AR|FOXA1|GATA3|ESR1; proliferation_marker:MKI67; immune_inflammation_marker:CD8A|CD274|CXCL9|IFNG; epithelial_marker:EPCAM|MUC1; stromal_emt_marker:VIM,"Module scores are cohort-relative marker means, not locked clinical classifier outputs."
