target_id,gene_symbol,dna_status,copy_number_status,variant_effect,hla_loss_status,evidence_detail
trop2,TACSTD2,partial_evidence,no_call,no_call,no_call,
her2,ERBB2,partial_evidence,no_call,no_call,no_call,
her3,ERBB3,partial_evidence,no_call,no_call,no_call,
liv1,SLC39A6,partial_evidence,no_call,no_call,no_call,
nectin4,NECTIN4,partial_evidence,no_call,no_call,no_call,
b7h3,CD276,partial_evidence,no_call,no_call,no_call,
folr1,FOLR1,partial_evidence,no_call,no_call,no_call,
egfr,EGFR,partial_evidence,no_call,no_call,no_call,
tissue_factor,F3,partial_evidence,no_call,no_call,no_call,
hla_a,HLA-A,partial_evidence,no_call,no_call,no_call,
hla_b,HLA-B,partial_evidence,no_call,no_call,no_call,
hla_c,HLA-C,partial_evidence,no_call,no_call,no_call,
b2m,B2M,partial_evidence,no_call,no_call,no_call,
pdl1,CD274,partial_evidence,no_call,no_call,no_call,
pd1,PDCD1,partial_evidence,no_call,no_call,no_call,
4_1bb,TNFRSF9,partial_evidence,no_call,no_call,no_call,
cd3e,CD3E,partial_evidence,no_call,no_call,no_call,
cdk12,CDK12,partial_evidence,no_call,no_call,no_call,
cdk13,CDK13,partial_evidence,no_call,no_call,no_call,
ccnk,CCNK,partial_evidence,no_call,no_call,no_call,
rb1,RB1,partial_evidence,no_call,no_call,no_call,
ccne1,CCNE1,partial_evidence,no_call,no_call,no_call,
cdk4,CDK4,partial_evidence,no_call,no_call,no_call,
cdk6,CDK6,partial_evidence,no_call,no_call,no_call,
ccnd1,CCND1,partial_evidence,no_call,no_call,no_call,
cdkn2a,CDKN2A,partial_evidence,no_call,no_call,no_call,
cdkn2b,CDKN2B,partial_evidence,no_call,no_call,no_call,
pik3ca,PIK3CA,partial_evidence,no_call,no_call,no_call,
akt1,AKT1,partial_evidence,no_call,no_call,no_call,
pten,PTEN,partial_evidence,no_call,no_call,no_call,
fgfr1,FGFR1,partial_evidence,no_call,no_call,no_call,
fgfr2,FGFR2,partial_evidence,no_call,no_call,no_call,
esr1,ESR1,partial_evidence,no_call,no_call,no_call,
top1,TOP1,partial_evidence,no_call,no_call,no_call,
slfn11,SLFN11,partial_evidence,no_call,no_call,no_call,
abcb1,ABCB1,partial_evidence,no_call,no_call,no_call,
ugt1a1,UGT1A1,partial_evidence,no_call,no_call,no_call,
