archive_key	https_url	original_key	version_id	original_last_modified	bytes	original_etag	original_storage_class	archive_etag	archive_last_modified	archive_encryption	status
version-history/2026-07-16-snapshot/objects/ef/efee0131503fe84df5b1a51e4f1dc89405ae30df2239ae5ec080b7e1d0adda31	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/ef/efee0131503fe84df5b1a51e4f1dc89405ae30df2239ae5ec080b7e1d0adda31	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/README.md	mRDs2oVNZzPW6NHU4nizv5VDsDtCzHIA	2026-07-16T15:32:50+00:00	500	1886f0aa9ad228602216b2de92d7b33b	STANDARD	4ec27bfb6d91b7b5f7cf947174978d29	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/29/2978392ca6d5079e334a62605f02747a1c1941ebb56b849f47343a299f27d987	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/29/2978392ca6d5079e334a62605f02747a1c1941ebb56b849f47343a299f27d987	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/contamination.table	4WdCWhRzHzU_dso5HvODCO_5IbkEkg5y	2026-07-16T15:32:50+00:00	89	98105a833e9124564aaf5c099f34d7c6	STANDARD	c10c7c24bf2f65541caf0dcb32bbb7ab	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/89/89268771c4a7b7c6b4f60abe6259401aaac143556348a9d8fc8797db1e23beed	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/89/89268771c4a7b7c6b4f60abe6259401aaac143556348a9d8fc8797db1e23beed	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/contamination_summary.json	47XZZ9SgF84TM2Vdwur_vWNmd6Sy7d0A	2026-07-16T15:32:50+00:00	317	fec8675d05992f1bd62a30f54434f173	STANDARD	e0039599281c995cb4772f13227d5bca	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/de/defc34d88a15d0e7e1aca076f4e8696b89a608bf580643ac435c4041b3e86d77	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/de/defc34d88a15d0e7e1aca076f4e8696b89a608bf580643ac435c4041b3e86d77	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/normal.pileups.table	SrwahHs_jpSGe9QLsszS1fLY6F.GXiex	2026-07-16T15:32:50+00:00	209536164	36d3553aec8611c962acb8774bf278e5-25	STANDARD	2fd339c1525a26baf3a7d80b7da02c1a	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/01/01cb9ac6de1097e1485a302eabe27c64f7fba42812f0e2c87624480a937e9924	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/01/01cb9ac6de1097e1485a302eabe27c64f7fba42812f0e2c87624480a937e9924	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/shards/normal.chr1.pileups.table	MDJs8yyaWKhZpwJoSnhBCpJeWjjZsywD	2026-07-16T15:32:51+00:00	15650723	bab0d4f0bd37e73b6967681e39e651c8-2	STANDARD	a81247c4bc8a116f1ddc62bd8e3fd2b0	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/0c/0c4612391282d6f270eab73aec253bdc61dc61bf802173864bff89cd60a38e2a	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/0c/0c4612391282d6f270eab73aec253bdc61dc61bf802173864bff89cd60a38e2a	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/shards/normal.chr10.pileups.table	wXpQnYGJdk.oFwH0027XJnkwpLdZ.Bue	2026-07-16T15:32:51+00:00	10341826	a783553e606549ee02c950a8d6b224c1-2	STANDARD	cdd3781d56af8a2e8c476895cf6ae9ac	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/fa/fa93aa7b9debec53a92b5ef636138c40bed8ceaad326e447149397ddb94232ed	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/fa/fa93aa7b9debec53a92b5ef636138c40bed8ceaad326e447149397ddb94232ed	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/shards/normal.chr11.pileups.table	gsob_NoOQDvzZfl2bfFUvcQb5l9RmbZi	2026-07-16T15:32:51+00:00	10010139	73533eda8c96568e29d1ad193c8897c5-2	STANDARD	3b71e6dbcf70d2de5ea79e675a8c4d22	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/50/5080be8e6996f04b1c64be371869fce196ead988695ad4f79a6efe239a9f8f5c	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/50/5080be8e6996f04b1c64be371869fce196ead988695ad4f79a6efe239a9f8f5c	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/shards/normal.chr12.pileups.table	dMZ58zvc9C7WhA7Rm8FaNk8eqWsplEXX	2026-07-16T15:32:51+00:00	9985894	dd5756076bde071a8afff17cf2b1dbf9-2	STANDARD	37ae33e30e1a46fad288a88342f66056	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/ae/aec1b71858c1b6c8fa4fb2661f94d62587026ad6af2aab321a8b9c0459111cb0	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/ae/aec1b71858c1b6c8fa4fb2661f94d62587026ad6af2aab321a8b9c0459111cb0	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/shards/normal.chr13.pileups.table	fhnO2LaU1Yrd1ZaPVc0WqMxTw.ueVdWD	2026-07-16T15:32:52+00:00	7131446	13fbf2dab81dea78a4fed20ae9a42837	STANDARD	3a031b45ccb1e95332ab1001c6c7b72d	2026-07-16T18:44:27+00:00	AES256	copied
version-history/2026-07-16-snapshot/objects/d7/d7fd03eda48a723b2b76bd6dcec5ea3ec2d8a75d103f62e9eccd9b8abf271d6e	https://diana-omics-results-172630973301-us-east-1.s3.us-east-1.amazonaws.com/version-history/2026-07-16-snapshot/objects/d7/d7fd03eda48a723b2b76bd6dcec5ea3ec2d8a75d103f62e9eccd9b8abf271d6e	runs/diana-hrd/diana-wgs-hrd-20260716T033101Z/early-look/early-look-intersected-20260716T150517Z/artifacts/contamination/shards/normal.chr14.pileups.table	no3WY_AIR0eMpEGf3IA6QXiXiunG58hG	2026-07-16T15:32:52+00:00	6848315	d4bf46dd2552bc86a20fc83ea28eeb9f	STANDARD	31b27a45fdc1eab08e5e20f4058e2948	2026-07-16T18:44:27+00:00	AES256	copied
