contig,start,end,length,tumor_depth_sum,normal_depth_sum,tumor_mean_depth,normal_mean_depth,log2_tumor_normal,coverage_class
chr1,0,5000000,5000000,234956397,267074336,46.991279,53.414867,-0.1848,neutral_or_low_signal
chr1,5000000,10000000,5000000,262321676,287699271,52.464335,57.539854,-0.1332,neutral_or_low_signal
chr1,10000000,15000000,5000000,313713260,292660465,62.742652,58.532093,0.1002,neutral_or_low_signal
chr1,15000000,20000000,5000000,313292920,297831491,62.658584,59.566298,0.073,neutral_or_low_signal
chr1,20000000,25000000,5000000,305523090,294390234,61.104618,58.878047,0.0536,neutral_or_low_signal
chr1,25000000,30000000,5000000,304331740,298616440,60.866348,59.723288,0.0274,neutral_or_low_signal
chr1,30000000,35000000,5000000,303669044,294991626,60.733809,58.998325,0.0418,neutral_or_low_signal
chr1,35000000,40000000,5000000,279070976,298295467,55.814195,59.659093,-0.0961,neutral_or_low_signal
chr1,40000000,45000000,5000000,361130278,302539740,72.226056,60.507948,0.2554,neutral_or_low_signal
chr1,45000000,50000000,5000000,352971118,299087974,70.594224,59.817595,0.239,neutral_or_low_signal
chr1,50000000,55000000,5000000,279441626,304350433,55.888325,60.870087,-0.1232,neutral_or_low_signal
chr1,55000000,60000000,5000000,227358465,301382403,45.471693,60.276481,-0.4066,neutral_or_low_signal
chr1,60000000,65000000,5000000,237304153,301083751,47.460831,60.21675,-0.3434,neutral_or_low_signal
chr1,65000000,70000000,5000000,231956235,316937385,46.391247,63.387477,-0.4503,neutral_or_low_signal
chr1,70000000,75000000,5000000,150876138,313256029,30.175228,62.651206,-1.054,relative_loss
chr1,75000000,80000000,5000000,233546161,317813365,46.709232,63.562673,-0.4445,neutral_or_low_signal
chr1,80000000,85000000,5000000,301493372,322162801,60.298674,64.43256,-0.0957,neutral_or_low_signal
chr1,85000000,90000000,5000000,564670684,320039761,112.934137,64.007952,0.8192,relative_gain
chr1,90000000,95000000,5000000,427183913,317253021,85.436783,63.450604,0.4292,neutral_or_low_signal
chr1,95000000,100000000,5000000,273572540,319640674,54.714508,63.928135,-0.2245,neutral_or_low_signal
chr1,100000000,105000000,5000000,229039143,320284380,45.807829,64.056876,-0.4838,neutral_or_low_signal
chr1,105000000,110000000,5000000,225642098,302578327,45.12842,60.515665,-0.4233,neutral_or_low_signal
chr1,110000000,115000000,5000000,222699156,312813103,44.539831,62.562621,-0.4902,neutral_or_low_signal
chr1,115000000,120000000,5000000,364533971,312784841,72.906794,62.556968,0.2209,neutral_or_low_signal
chr1,120000000,125000000,5000000,1131726759,879073778,226.345352,175.814756,0.3645,neutral_or_low_signal
chr1,125000000,130000000,5000000,136578947,119543589,27.315789,23.908718,0.1922,neutral_or_low_signal
chr1,130000000,135000000,5000000,0,0,0.0,0.0,0.0,neutral_or_low_signal
chr1,135000000,140000000,5000000,0,0,0.0,0.0,0.0,neutral_or_low_signal
chr1,140000000,145000000,5000000,460383377,402169231,92.076675,80.433846,0.195,neutral_or_low_signal
chr1,145000000,150000000,5000000,340271677,316565018,68.054335,63.313004,0.1042,neutral_or_low_signal
chr1,150000000,155000000,5000000,319815826,300556678,63.963165,60.111336,0.0896,neutral_or_low_signal
chr1,155000000,160000000,5000000,320223492,303808291,64.044698,60.761658,0.0759,neutral_or_low_signal
chr1,160000000,165000000,5000000,332933831,311010518,66.586766,62.202104,0.0983,neutral_or_low_signal
chr1,165000000,170000000,5000000,334500554,317218574,66.900111,63.443715,0.0765,neutral_or_low_signal
chr1,170000000,175000000,5000000,364464418,325081948,72.892884,65.01639,0.165,neutral_or_low_signal
chr1,175000000,180000000,5000000,357988804,303606633,71.597761,60.721327,0.2377,neutral_or_low_signal
chr1,180000000,185000000,5000000,355876969,319484566,71.175394,63.896913,0.1556,neutral_or_low_signal
chr1,185000000,190000000,5000000,362370794,315769289,72.474159,63.153858,0.1986,neutral_or_low_signal
chr1,190000000,195000000,5000000,361233598,316311907,72.24672,63.262381,0.1916,neutral_or_low_signal
chr1,195000000,200000000,5000000,358170493,313754891,71.634099,62.750978,0.191,neutral_or_low_signal
chr1,200000000,205000000,5000000,329324281,302510107,65.864856,60.502021,0.1225,neutral_or_low_signal
chr1,205000000,210000000,5000000,281236536,304950596,56.247307,60.990119,-0.1168,neutral_or_low_signal
chr1,210000000,215000000,5000000,287818779,311013643,57.563756,62.202729,-0.1118,neutral_or_low_signal
chr1,215000000,220000000,5000000,296505201,305422804,59.30104,61.084561,-0.0428,neutral_or_low_signal
chr1,220000000,225000000,5000000,284634714,306374701,56.926943,61.27494,-0.1062,neutral_or_low_signal
chr1,225000000,230000000,5000000,282463658,302068191,56.492732,60.413638,-0.0968,neutral_or_low_signal
chr1,230000000,235000000,5000000,289108858,305311207,57.821772,61.062241,-0.0787,neutral_or_low_signal
chr1,235000000,240000000,5000000,289611098,312822725,57.92222,62.564545,-0.1112,neutral_or_low_signal
chr1,240000000,245000000,5000000,284706372,299589632,56.941274,59.917926,-0.0735,neutral_or_low_signal
chr1,245000000,248956422,3956422,222950492,242322650,56.351545,61.247928,-0.1202,neutral_or_low_signal
