target_id,gene_symbol,rna_status,read_count,evidence_detail
trop2,TACSTD2,detected,53220,"Modal mounted-S3 hs37d5 RNA locus 1:59041099-59043166; tumor_rna_reads=53220; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
her2,ERBB2,detected,195427,"Modal mounted-S3 hs37d5 RNA locus 17:37844167-37886679; tumor_rna_reads=195427; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
her3,ERBB3,detected,548942,"Modal mounted-S3 hs37d5 RNA locus 12:56473641-56497289; tumor_rna_reads=548942; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
liv1,SLC39A6,detected,24508,"Modal mounted-S3 hs37d5 RNA locus 18:33688495-33709348; tumor_rna_reads=24508; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
nectin4,NECTIN4,detected,11392,"Modal mounted-S3 hs37d5 RNA locus 1:160045309-160062279; tumor_rna_reads=11392; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
b7h3,CD276,detected,86790,"Modal mounted-S3 hs37d5 RNA locus 15:73976307-74006859; tumor_rna_reads=86790; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
folr1,FOLR1,detected,57349,"Modal mounted-S3 hs37d5 RNA locus 11:71900602-71907345; tumor_rna_reads=57349; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
egfr,EGFR,detected,181595,"Modal mounted-S3 hs37d5 RNA locus 7:55086714-55324313; tumor_rna_reads=181595; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
tissue_factor,F3,detected,4012,"Modal mounted-S3 hs37d5 RNA locus 1:94994781-95007356; tumor_rna_reads=4012; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
hla_a,HLA-A,detected,989634,"Modal mounted-S3 hs37d5 RNA locus 6:29909037-29913661; tumor_rna_reads=989634; unnormalized indexed RNA BAM range-read support only; TPM, malignant-cell heterogeneity, surface protein abundance, and drug sensitivity remain unproven."
